,ahn,hong,moon,pop,광역시도,시군
0,22313.0,22325.0,42512.0,102566.0,서울특별시,종로구
1,19372.0,17901.0,34062.0,82852.0,서울특별시,중구
2,32109.0,35230.0,58081.0,148157.0,서울특별시,용산구
3,45674.0,40566.0,86686.0,203175.0,서울특별시,성동구
4,52824.0,46368.0,105512.0,240030.0,서울특별시,광진구
5,53359.0,51631.0,98958.0,236092.0,서울특별시,동대문구
6,62778.0,56545.0,111450.0,265706.0,서울특별시,중랑구
7,66518.0,57584.0,129263.0,295866.0,서울특별시,성북구
8,51669.0,42268.0,89645.0,210614.0,서울특별시,강북구
9,55600.0,47461.0,94898.0,229233.0,서울특별시,도봉구
10,96325.0,67590.0,158167.0,374213.0,서울특별시,노원구
11,72582.0,60109.0,140180.0,317275.0,서울특별시,은평구
12,46237.0,40513.0,93768.0,212076.0,서울특별시,서대문구
13,52545.0,46547.0,117336.0,256992.0,서울특별시,마포구
14,71816.0,60814.0,133853.0,310886.0,서울특별시,양천구
15,88128.0,76601.0,175882.0,397108.0,서울특별시,강서구
16,61734.0,59194.0,121077.0,278805.0,서울특별시,구로구
17,36695.0,31106.0,67423.0,155010.0,서울특별시,금천구
18,53994.0,53615.0,105834.0,248833.0,서울특별시,영등포구
19,60305.0,54431.0,121722.0,276685.0,서울특별시,동작구
20,79495.0,59914.0,159854.0,351240.0,서울특별시,관악구
21,63977.0,74891.0,106416.0,292916.0,서울특별시,서초구
22,80201.0,97639.0,128927.0,365642.0,서울특별시,강남구
23,99018.0,98549.0,177328.0,441198.0,서울특별시,송파구
24,67499.0,65893.0,122511.0,297476.0,서울특별시,강동구
25,4675.0,10684.0,9918.0,28604.0,부산광역시,중구
26,11868.0,26360.0,24522.0,71446.0,부산광역시,서구
27,9815.0,22188.0,19606.0,58304.0,부산광역시,동구
28,13082.0,25345.0,30094.0,78013.0,부산광역시,영도구
29,40636.0,79545.0,95042.0,246124.0,부산광역시,부산진구
30,30208.0,59616.0,67947.0,181098.0,부산광역시,동래구
31,30943.0,59137.0,68566.0,181922.0,부산광역시,남구
32,32712.0,61175.0,83611.0,203689.0,부산광역시,북구
33,48325.0,80904.0,102106.0,266870.0,부산광역시,해운대구
34,15909.0,26556.0,39412.0,94393.0,부산광역시,기장군
35,36713.0,65252.0,82452.0,211876.0,부산광역시,사하구
36,26729.0,54418.0,60169.0,164127.0,부산광역시,금정구
37,10629.0,18711.0,30783.0,68633.0,부산광역시,강서구
38,23321.0,44221.0,52454.0,137602.0,부산광역시,연제구
39,20319.0,39832.0,43702.0,119064.0,부산광역시,수영구
40,23023.0,46540.0,61743.0,149868.0,부산광역시,사상구
41,7170.0,24698.0,11477.0,52180.0,대구광역시,중구
42,31351.0,100166.0,47350.0,226510.0,대구광역시,동구
43,17808.0,68782.0,22004.0,127659.0,대구광역시,서구
44,13978.0,50304.0,19862.0,100059.0,대구광역시,남구
45,42369.0,121368.0,62526.0,276725.0,대구광역시,북구
46,43698.0,123074.0,64922.0,285528.0,대구광역시,수성구
47,57956.0,165781.0,82726.0,374766.0,대구광역시,달서구
48,21427.0,60032.0,31753.0,137920.0,대구광역시,달성군
49,15405.0,16139.0,28030.0,69220.0,인천광역시,중구
50,10479.0,11446.0,16501.0,44672.0,인천광역시,동구
51,61034.0,60603.0,96338.0,254020.0,인천광역시,남구
52,48166.0,41920.0,85853.0,208175.0,인천광역시,연수구
53,77693.0,66178.0,136132.0,327425.0,인천광역시,남동구
54,82590.0,66560.0,146859.0,345398.0,인천광역시,부평구
55,48622.0,37234.0,88890.0,205824.0,인천광역시,계양구
56,72248.0,56236.0,132399.0,306672.0,인천광역시,서구
57,9559.0,17041.0,12153.0,43938.0,인천광역시,강화군
58,3092.0,5834.0,3935.0,14747.0,인천광역시,옹진군
59,23438.0,1308.0,37053.0,66287.0,광주광역시,동구
60,62218.0,3182.0,124183.0,204787.0,광주광역시,서구
61,47663.0,2521.0,85642.0,146037.0,광주광역시,남구
62,88501.0,4241.0,177850.0,292001.0,광주광역시,북구
63,65402.0,3630.0,159119.0,248209.0,광주광역시,광산구
64,34729.0,33015.0,57580.0,143823.0,대전광역시,동구
65,37504.0,37657.0,62115.0,157397.0,대전광역시,중구
66,70732.0,59593.0,133604.0,307774.0,대전광역시,서구
67,47081.0,35445.0,103313.0,218087.0,대전광역시,유성구
68,28723.0,25666.0,47933.0,118816.0,대전광역시,대덕구
69,26458.0,47625.0,56657.0,157051.0,울산광역시,중구
70,39040.0,63331.0,80662.0,219569.0,울산광역시,남구
71,19290.0,23701.0,44931.0,109054.0,울산광역시,동구
72,20115.0,26596.0,52058.0,122933.0,울산광역시,북구
73,23617.0,42349.0,48486.0,136353.0,울산광역시,울주군
74,32010.0,23211.0,77767.0,152801.0,세종특별자치시,세종특별자치시
75,43344.0,37143.0,81392.0,190917.0,경기도,수원시장안구
76,51061.0,42801.0,95263.0,222078.0,경기도,수원시권선구
77,28228.0,27782.0,49814.0,123458.0,경기도,수원시팔달구
78,46872.0,33354.0,105181.0,220307.0,경기도,수원시영통구
79,36752.0,28395.0,63867.0,149414.0,경기도,성남시수정구
80,36512.0,27896.0,62729.0,146801.0,경기도,성남시중원구
81,74040.0,71332.0,139853.0,338076.0,경기도,성남시분당구
82,65003.0,57027.0,110580.0,270404.0,경기도,의정부시
83,38671.0,35189.0,70454.0,167995.0,경기도,안양시만안구
84,51966.0,43072.0,101278.0,230674.0,경기도,안양시동안구
85,128297.0,100544.0,239697.0,543777.0,경기도,부천시
86,51958.0,39081.0,97959.0,218795.0,경기도,광명시
87,64057.0,62827.0,104574.0,273677.0,경기도,평택시
88,28469.0,29739.0,46286.0,121344.0,경기도,양주시
89,12808.0,15733.0,19444.0,55487.0,경기도,동두천시
90,55067.0,39723.0,98564.0,226266.0,경기도,안산시상록구
91,45779.0,33862.0,80771.0,187253.0,경기도,안산시단원구
92,61581.0,55157.0,120063.0,287087.0,경기도,고양시덕양구
93,41166.0,34980.0,81622.0,188297.0,경기도,고양시일산동구
94,41563.0,35147.0,85919.0,192610.0,경기도,고양시일산서구
95,8736.0,9055.0,16528.0,40789.0,경기도,과천시
96,23602.0,21218.0,43869.0,103913.0,경기도,의왕시
97,28698.0,26113.0,51181.0,123469.0,경기도,구리시
98,92048.0,86026.0,165079.0,397972.0,경기도,남양주시
