구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,1.0,0.9545454545454546,0.9285714285714286,0.96588058203713,0.7494751574527642,77.728285077951,85.71428571428571,76.92307692307693,42.857142857142854,86.48459383753502,570500.0,2780,0.9196945245213554,85.46306611114227
강동구,0.34743875278396436,0.2727272727272727,0.2857142857142857,0.5935775213246363,0.47445766270118966,78.84615384615384,100.0,75.0,33.34742180896027,82.89085545722715,453233.0,773,0.39478309905026976,85.55022576390748
강북구,0.34075723830734966,0.6363636363636364,0.5,0.35975915704967387,0.46343596920923724,82.35294117647058,92.85714285714286,100.0,43.09623430962343,88.63722159305398,330192.0,748,0.4600632001859794,94.07072761768072
관악구,0.7126948775055679,0.5454545454545454,0.6428571428571429,0.6788760662318113,0.5769769069279216,69.0625,100.0,88.88888888888889,30.56171470805617,80.10915706488781,525515.0,1496,0.6313719077953979,85.21222448195587
광진구,0.534521158129176,0.6363636363636364,0.2857142857142857,0.7591570496738586,0.4592372288313506,91.66666666666666,100.0,100.0,42.2009253139458,83.04761904761905,372164.0,707,0.5349986717424614,96.37581975731734
구로구,0.6258351893095768,0.6818181818181818,0.5714285714285714,0.5858003010536879,0.5260671798460462,58.362989323843415,73.33333333333333,75.0,38.07280513918629,80.87795144662454,447874.0,1561,0.5981898846912128,75.27790635466599
금천구,0.3363028953229399,0.2727272727272727,0.21428571428571427,0.3931259407927747,0.35934219734079775,80.79470198675497,100.0,100.0,56.66879387364391,86.46543330087634,255082.0,1015,0.31515680409389984,97.9971394327299
노원구,0.43875278396436523,0.3181818181818182,0.7142857142857143,0.5501756146512795,0.4763820853743877,61.42131979695431,100.0,100.0,36.52530779753762,85.53066470804261,569384.0,1265,0.499555603291513,88.64617415331136
도봉구,0.22717149220489977,0.4090909090909091,0.21428571428571427,0.26668339187155043,0.260146955913226,100.0,100.0,100.0,44.96707431796801,87.62609280430397,348646.0,485,0.27547569267325994,100.0
동대문구,0.38530066815144765,0.5909090909090909,0.35714285714285715,0.49698946312092324,0.4457662701189643,84.39306358381504,100.0,100.0,41.090358404846036,87.40188383045526,369496.0,1294,0.4552216698886567,95.44425044106504
동작구,0.6347438752783965,0.4090909090909091,0.35714285714285715,0.46788760662318113,0.33414975507347794,48.771929824561404,55.55555555555556,100.0,35.442359249329755,83.0890052356021,412520.0,1091,0.4406030006417644,74.63336788530299
마포구,0.6547884187082406,0.6363636363636364,0.5714285714285714,0.6409934771700954,0.5218684394681595,84.01360544217688,71.42857142857143,100.0,31.81996086105675,84.44518940663761,389649.0,574,0.6050885086277407,85.92538102511915
서대문구,0.3429844097995546,0.22727272727272727,0.14285714285714285,0.4545910687405921,0.35969209237228833,80.51948051948052,80.0,100.0,40.728476821192054,83.21984435797665,327163.0,962,0.30547948820846105,88.87514434317907
서초구,0.8752783964365256,0.4090909090909091,0.5714285714285714,0.6610637230306071,0.41969909027291813,63.358778625954194,66.66666666666666,75.0,41.40417457305503,87.45310546060858,450310.0,1930,0.5873121380519063,77.1816918763104
성동구,0.2806236080178174,0.4090909090909091,0.2857142857142857,0.4031610637230306,0.2820153953813856,94.44444444444444,88.88888888888889,100.0,37.14996888612321,86.53846153846155,311244.0,1062,0.33212105238548567,94.08881015517144
성북구,0.33407572383073497,0.22727272727272727,0.35714285714285715,0.44781736076266937,0.3864590622813156,82.66666666666667,80.0,100.0,41.51260504201681,83.97464916251698,461260.0,1464,0.35055354625806084,89.72724267775804
송파구,0.48997772828507796,0.5909090909090909,0.7857142857142857,0.8125940792774712,0.5764520643806857,80.9090909090909,76.92307692307693,90.9090909090909,34.85643717196666,84.55235204855842,667483.0,618,0.6511294497133223,85.10306586921345
양천구,0.8507795100222717,0.8636363636363636,0.7142857142857143,1.0,1.0,77.4869109947644,84.21052631578947,100.0,48.469643753135976,83.06508047585724,479978.0,2034,0.8857403175888698,90.90114949235905
영등포구,0.6570155902004454,1.0,1.0,0.7436026091319619,0.6249125262421273,62.03389830508475,90.9090909090909,85.71428571428571,32.99595141700405,82.89473684210526,402985.0,904,0.8051061451149069,81.95875250321699
용산구,0.43207126948775054,0.6363636363636364,0.35714285714285715,0.39061716006021074,0.35864240727781665,89.17525773195877,100.0,100.0,37.70070648683366,83.1219512195122,244203.0,1624,0.4349674660664543,94.77678951004307
은평구,0.36971046770601335,0.4090909090909091,0.21428571428571427,0.4801806322127446,0.46413575927221834,84.93975903614458,66.66666666666666,100.0,37.14733542319749,86.92046739540143,494388.0,1873,0.3874806965135199,86.84238612008086
종로구,0.46993318485523383,0.5,0.42857142857142855,0.5479177119919719,0.40115465360391883,76.30331753554502,81.81818181818183,83.33333333333334,38.324175824175825,84.21282163105103,162820.0,1002,0.4695153958045107,84.14183528687248
중구,0.37861915367483295,0.4090909090909091,0.21428571428571427,0.6392373306573006,0.38908327501749473,65.29411764705883,66.66666666666666,66.66666666666666,33.712715855573,88.3093525179856,133240.0,671,0.4060632765452503,74.12265003790951
중랑구,0.41648106904231624,0.5,0.9285714285714286,0.5356246864024085,0.49807557732680197,79.14438502673798,81.81818181818183,92.3076923076923,38.82903981264637,84.54513523006673,414503.0,660,0.5757505522685911,87.06666281875579
